catagory,norm_url,cc_url,query,CC_results,total_results,CC_percent,,,,,Category,queries ,avg results,avg cc results,avg % CC
animals,https://www.google.com/search?as_q=Lion,https://www.google.com/search?as_q=Lion&tbs=sur:fm,Lion,152000000,2470000000,6.153846154,,,,,animals,86,887535000,42871418.02,1.559478709
animals,https://www.google.com/search?as_q=Tiger,https://www.google.com/search?as_q=Tiger&tbs=sur:fm,Tiger,111000000,2320000000,4.784482759,,,,,books,88,4494064.773,7661.681818,0.23624322
animals,https://www.google.com/search?as_q=Bear,https://www.google.com/search?as_q=Bear&tbs=sur:fm,Bear,317000000,4350000000,7.287356322,,,,,movies,20,468858500,23185289.5,1.696710225
animals,https://www.google.com/search?as_q=Elephant,https://www.google.com/search?as_q=Elephant&tbs=sur:fm,Elephant,34400000,1280000000,2.6875,,,,,companies,94,1909479416,137973687.6,1.592226271
animals,https://www.google.com/search?as_q=Leopard,https://www.google.com/search?as_q=Leopard&tbs=sur:fm,Leopard,2700000,563000000,0.479573712,,,,,cities,228,635710043.9,31839692.11,1.602042375
animals,https://www.google.com/search?as_q=Giraffe,https://www.google.com/search?as_q=Giraffe&tbs=sur:fm,Giraffe,226000,268000000,0.084328358,,,,,people,100,1167267000,38195668,0.075778953
animals,https://www.google.com/search?as_q=Zebra,https://www.google.com/search?as_q=Zebra&tbs=sur:fm,Zebra,1750000,502000000,0.348605578,,,,,artists,100,694610772,61564116.29,0.224649937
animals,https://www.google.com/search?as_q=Hippo,https://www.google.com/search?as_q=Hippo&tbs=sur:fm,Hippo,409000,203000000,0.201477833,,,,,conditions ,140,267599857.1,3513793.214,0.152459199
animals,https://www.google.com/search?as_q=Rhinoceros,https://www.google.com/search?as_q=Rhinoceros&tbs=sur:fm,Rhinoceros,221000,82900000,0.266586248,,,,,,,,,
animals,https://www.google.com/search?as_q=Panda,https://www.google.com/search?as_q=Panda&tbs=sur:fm,Panda,31500000,1800000000,1.75,,,,,Total Queries,Avg CC %,totall CC results,total,
animals,https://www.google.com/search?as_q=Kangaroo,https://www.google.com/search?as_q=Kangaroo&tbs=sur:fm,Kangaroo,413000,221000000,0.186877828,,,,,857,1.000969919,34848207882,6.34185E+11,
animals,https://www.google.com/search?as_q=Koala,https://www.google.com/search?as_q=Koala&tbs=sur:fm,Koala,122000,191000000,0.063874346,,,,,,,,,
animals,https://www.google.com/search?as_q=Gorilla,https://www.google.com/search?as_q=Gorilla&tbs=sur:fm,Gorilla,1060000,378000000,0.28042328,,,,,,,,,
animals,https://www.google.com/search?as_q=Chimpanzee,https://www.google.com/search?as_q=Chimpanzee&tbs=sur:fm,Chimpanzee,102000,72200000,0.141274238,,,,,,,,,
animals,https://www.google.com/search?as_q=Hyena,https://www.google.com/search?as_q=Hyena&tbs=sur:fm,Hyena,62600,49100000,0.127494908,,,,,,,,,
animals,https://www.google.com/search?as_q=Fox,https://www.google.com/search?as_q=Fox&tbs=sur:fm,Fox,251000000,3770000000,6.657824934,,,,,,,,,
animals,https://www.google.com/search?as_q=Raccoon,https://www.google.com/search?as_q=Raccoon&tbs=sur:fm,Raccoon,144000,102000000,0.141176471,,,,,,,,,
animals,https://www.google.com/search?as_q=Deer,https://www.google.com/search?as_q=Deer&tbs=sur:fm,Deer,8050000,1130000000,0.712389381,,,,,,,,,
animals,https://www.google.com/search?as_q=Moose,https://www.google.com/search?as_q=Moose&tbs=sur:fm,Moose,348000,252000000,0.138095238,,,,,,,,,
animals,https://www.google.com/search?as_q=Elk,https://www.google.com/search?as_q=Elk&tbs=sur:fm,Elk,4550000,467000000,0.974304069,,,,,,,,,
animals,https://www.google.com/search?as_q=Caribou,https://www.google.com/search?as_q=Caribou&tbs=sur:fm,Caribou,81800,55700000,0.146858169,,,,,,,,,
animals,https://www.google.com/search?as_q=Antelope,https://www.google.com/search?as_q=Antelope&tbs=sur:fm,Antelope,222000,101000000,0.21980198,,,,,,,,,
animals,https://www.google.com/search?as_q=Buffalo,https://www.google.com/search?as_q=Buffalo&tbs=sur:fm,Buffalo,24500000,1020000000,2.401960784,,,,,,,,,
animals,https://www.google.com/search?as_q=Bison,https://www.google.com/search?as_q=Bison&tbs=sur:fm,Bison,578000,230000000,0.251304348,,,,,,,,,
animals,https://www.google.com/search?as_q=Cow,https://www.google.com/search?as_q=Cow&tbs=sur:fm,Cow,30500000,1490000000,2.046979866,,,,,,,,,
animals,https://www.google.com/search?as_q=Pig,https://www.google.com/search?as_q=Pig&tbs=sur:fm,Pig,22000000,1550000000,1.419354839,,,,,,,,,
animals,https://www.google.com/search?as_q=Sheep,https://www.google.com/search?as_q=Sheep&tbs=sur:fm,Sheep,16400000,863000000,1.900347625,,,,,,,,,
animals,https://www.google.com/search?as_q=Llama,https://www.google.com/search?as_q=Llama&tbs=sur:fm,Llama,439000000,4530000000,9.690949227,,,,,,,,,
animals,https://www.google.com/search?as_q=Horse,https://www.google.com/search?as_q=Horse&tbs=sur:fm,Horse,173000000,2690000000,6.431226766,,,,,,,,,
animals,https://www.google.com/search?as_q=Donkey,https://www.google.com/search?as_q=Donkey&tbs=sur:fm,Donkey,2940000,356000000,0.825842697,,,,,,,,,
animals,https://www.google.com/search?as_q=Mule,https://www.google.com/search?as_q=Mule&tbs=sur:fm,Mule,695000,363000000,0.191460055,,,,,,,,,
animals,https://www.google.com/search?as_q=Zebu,https://www.google.com/search?as_q=Zebu&tbs=sur:fm,Zebu,19800,10600000,0.186792453,,,,,,,,,
animals,https://www.google.com/search?as_q=Dog,https://www.google.com/search?as_q=Dog&tbs=sur:fm,Dog,464000000,5610000000,8.270944742,,,,,,,,,
animals,https://www.google.com/search?as_q=Cat,https://www.google.com/search?as_q=Cat&tbs=sur:fm,Cat,379000000,6460000000,5.866873065,,,,,,,,,
animals,https://www.google.com/search?as_q=Rabbit,https://www.google.com/search?as_q=Rabbit&tbs=sur:fm,Rabbit,37500000,1120000000,3.348214286,,,,,,,,,
animals,https://www.google.com/search?as_q=Hare,https://www.google.com/search?as_q=Hare&tbs=sur:fm,Hare,4480000,656000000,0.682926829,,,,,,,,,
animals,https://www.google.com/search?as_q=Squirrel,https://www.google.com/search?as_q=Squirrel&tbs=sur:fm,Squirrel,1250000,266000000,0.469924812,,,,,,,,,
animals,https://www.google.com/search?as_q=Chipmunk,https://www.google.com/search?as_q=Chipmunk&tbs=sur:fm,Chipmunk,83000,53800000,0.154275093,,,,,,,,,
animals,https://www.google.com/search?as_q=Otter,https://www.google.com/search?as_q=Otter&tbs=sur:fm,Otter,592000,194000000,0.305154639,,,,,,,,,
animals,https://www.google.com/search?as_q=Skunk,https://www.google.com/search?as_q=Skunk&tbs=sur:fm,Skunk,276000,69700000,0.395982783,,,,,,,,,
animals,https://www.google.com/search?as_q=Badger,https://www.google.com/search?as_q=Badger&tbs=sur:fm,Badger,424000,149000000,0.284563758,,,,,,,,,
animals,https://www.google.com/search?as_q=Weasel,https://www.google.com/search?as_q=Weasel&tbs=sur:fm,Weasel,139000,59200000,0.234797297,,,,,,,,,
